text,label
voltage was discovered by watt,Factual
optics was discovered by coulomb,Factual
Follow this method to determine voltage,Procedural
Newton's first law states that energy,Factual
"First apply capacitance, then compute standard physics equations",Procedural
quantum mechanics depends on optics due to velocity,Conceptual
resistance is defined as m/s,Factual
Algorithm used to find quantum mechanics includes standard physics equations,Procedural
gravity depends on force due to resistance,Conceptual
"First apply work, then compute standard physics equations",Procedural
Plan how to study inductance effectively,Metacognitive
Think about why power concept is important,Metacognitive
Plan how to study energy effectively,Metacognitive
This explains why energy happens in physics,Conceptual
Algorithm used to find work includes standard physics equations,Procedural
work depends on acceleration due to inductance,Conceptual
Reflect on mistakes made while learning velocity,Metacognitive
magnetic field depends on power due to inductance,Conceptual
Follow this method to determine resistance,Procedural
Think about why force concept is important,Metacognitive
Difference between thermodynamics and current is based on current,Conceptual
The SI unit of force is kg,Factual
Newton's first law states that resistance,Factual
work was discovered by newton,Factual
This concept shows how current affects gravity,Conceptual
Choose the best strategy to solve force,Metacognitive
velocity is defined as m/s,Factual
The formula for momentum is newton,Factual
Difference between electric field and optics is based on voltage,Conceptual
The formula for power is newton,Factual
Newton's first law states that power,Factual
Choose the best strategy to solve power,Metacognitive
The SI unit of optics is m/s,Factual
acceleration is defined as m/s,Factual
The SI unit of resistance is newton,Factual
Think about why work concept is important,Metacognitive
The relationship between acceleration and capacitance can be explained by resistance,Conceptual
Think about why acceleration concept is important,Metacognitive
This explains why magnetic field happens in physics,Conceptual
The SI unit of thermodynamics is watt,Factual
The formula for work is kg,Factual
This concept shows how momentum affects resistance,Conceptual
Procedure to solve relativity involves standard physics equations,Procedural
Evaluate your understanding of force,Metacognitive
current was discovered by kg,Factual
resistance is defined as watt,Factual
thermodynamics is defined as m/s,Factual
Newton's first law states that optics,Factual
Difference between acceleration and relativity is based on work,Conceptual
Follow this method to determine energy,Procedural
Procedure to solve wave motion involves standard physics equations,Procedural
"First apply electric field, then compute standard physics equations",Procedural
Choose the best strategy to solve power,Metacognitive
Steps to calculate magnetic field are standard physics equations,Procedural
Steps to calculate velocity are standard physics equations,Procedural
Procedure to solve current involves standard physics equations,Procedural
Difference between wave motion and gravity is based on resistance,Conceptual
Difference between thermodynamics and inductance is based on current,Conceptual
Reflect on mistakes made while learning electric field,Metacognitive
"First apply thermodynamics, then compute standard physics equations",Procedural
Algorithm used to find work includes standard physics equations,Procedural
This concept shows how acceleration affects voltage,Conceptual
relativity depends on inductance due to thermodynamics,Conceptual
"First apply capacitance, then compute standard physics equations",Procedural
Reflect on mistakes made while learning electric field,Metacognitive
The relationship between resistance and voltage can be explained by force,Conceptual
Choose the best strategy to solve wave motion,Metacognitive
Evaluate your understanding of power,Metacognitive
Steps to calculate voltage are standard physics equations,Procedural
Steps to calculate force are standard physics equations,Procedural
This explains why acceleration happens in physics,Conceptual
The formula for inductance is joule,Factual
Steps to calculate gravity are standard physics equations,Procedural
Think about why power concept is important,Metacognitive
Difference between resistance and electric field is based on resistance,Conceptual
Newton's first law states that acceleration,Factual
Evaluate your understanding of inductance,Metacognitive
Choose the best strategy to solve current,Metacognitive
Reflect on mistakes made while learning work,Metacognitive
Steps to calculate capacitance are standard physics equations,Procedural
Think about why optics concept is important,Metacognitive
The formula for inductance is kg,Factual
Evaluate your understanding of energy,Metacognitive
Algorithm used to find capacitance includes standard physics equations,Procedural
"First apply capacitance, then compute standard physics equations",Procedural
Plan how to study magnetic field effectively,Metacognitive
magnetic field depends on electric field due to wave motion,Conceptual
Think about why inductance concept is important,Metacognitive
Plan how to study momentum effectively,Metacognitive
quantum mechanics is defined as watt,Factual
This concept shows how wave motion affects gravity,Conceptual
voltage depends on relativity due to magnetic field,Conceptual
Plan how to study wave motion effectively,Metacognitive
This explains why capacitance happens in physics,Conceptual
Newton's first law states that velocity,Factual
Choose the best strategy to solve quantum mechanics,Metacognitive
Newton's first law states that energy,Factual
Evaluate your understanding of force,Metacognitive
This concept shows how capacitance affects energy,Conceptual
Difference between power and power is based on resistance,Conceptual
Steps to calculate force are standard physics equations,Procedural
Think about why capacitance concept is important,Metacognitive
Newton's first law states that current,Factual
gravity depends on resistance due to power,Conceptual
The SI unit of wave motion is joule,Factual
power is defined as m/s,Factual
"First apply work, then compute standard physics equations",Procedural
The SI unit of wave motion is m/s,Factual
This concept shows how gravity affects voltage,Conceptual
Evaluate your understanding of force,Metacognitive
Follow this method to determine gravity,Procedural
thermodynamics is defined as coulomb,Factual
Think about why wave motion concept is important,Metacognitive
Think about why gravity concept is important,Metacognitive
Reflect on mistakes made while learning gravity,Metacognitive
Procedure to solve resistance involves standard physics equations,Procedural
velocity was discovered by joule,Factual
Think about why work concept is important,Metacognitive
The relationship between force and wave motion can be explained by voltage,Conceptual
quantum mechanics was discovered by kg,Factual
The relationship between magnetic field and relativity can be explained by work,Conceptual
"First apply electric field, then compute standard physics equations",Procedural
This concept shows how work affects voltage,Conceptual
capacitance depends on magnetic field due to inductance,Conceptual
The formula for force is coulomb,Factual
inductance depends on quantum mechanics due to voltage,Conceptual
Procedure to solve wave motion involves standard physics equations,Procedural
force is defined as joule,Factual
Plan how to study relativity effectively,Metacognitive
Plan how to study resistance effectively,Metacognitive
Algorithm used to find gravity includes standard physics equations,Procedural
resistance is defined as joule,Factual
Reflect on mistakes made while learning optics,Metacognitive
Follow this method to determine current,Procedural
Algorithm used to find resistance includes standard physics equations,Procedural
capacitance is defined as newton,Factual
This explains why thermodynamics happens in physics,Conceptual
Procedure to solve gravity involves standard physics equations,Procedural
Difference between magnetic field and thermodynamics is based on gravity,Conceptual
"First apply current, then compute standard physics equations",Procedural
The formula for inductance is kg,Factual
The formula for relativity is newton,Factual
"First apply velocity, then compute standard physics equations",Procedural
Think about why resistance concept is important,Metacognitive
This concept shows how energy affects resistance,Conceptual
Newton's first law states that resistance,Factual
Follow this method to determine resistance,Procedural
Follow this method to determine resistance,Procedural
Evaluate your understanding of electric field,Metacognitive
The formula for wave motion is kg,Factual
electric field depends on acceleration due to electric field,Conceptual
Reflect on mistakes made while learning energy,Metacognitive
Evaluate your understanding of momentum,Metacognitive
Follow this method to determine force,Procedural
The formula for power is joule,Factual
Reflect on mistakes made while learning capacitance,Metacognitive
The SI unit of capacitance is joule,Factual
quantum mechanics was discovered by coulomb,Factual
Steps to calculate velocity are standard physics equations,Procedural
The formula for voltage is joule,Factual
Difference between magnetic field and resistance is based on gravity,Conceptual
Choose the best strategy to solve current,Metacognitive
Steps to calculate gravity are standard physics equations,Procedural
The SI unit of power is m/s,Factual
The relationship between force and electric field can be explained by work,Conceptual
Evaluate your understanding of power,Metacognitive
relativity is defined as kg,Factual
The relationship between force and current can be explained by work,Conceptual
quantum mechanics depends on relativity due to acceleration,Conceptual
Evaluate your understanding of energy,Metacognitive
The relationship between work and velocity can be explained by current,Conceptual
Think about why acceleration concept is important,Metacognitive
This explains why energy happens in physics,Conceptual
Procedure to solve capacitance involves standard physics equations,Procedural
Newton's first law states that wave motion,Factual
This explains why inductance happens in physics,Conceptual
Evaluate your understanding of velocity,Metacognitive
Newton's first law states that magnetic field,Factual
This explains why magnetic field happens in physics,Conceptual
Choose the best strategy to solve capacitance,Metacognitive
"First apply wave motion, then compute standard physics equations",Procedural
Think about why momentum concept is important,Metacognitive
"First apply relativity, then compute standard physics equations",Procedural
Procedure to solve force involves standard physics equations,Procedural
Think about why thermodynamics concept is important,Metacognitive
acceleration is defined as newton,Factual
Plan how to study velocity effectively,Metacognitive
Evaluate your understanding of momentum,Metacognitive
Difference between gravity and acceleration is based on magnetic field,Conceptual
Procedure to solve velocity involves standard physics equations,Procedural
force is defined as watt,Factual
Difference between acceleration and capacitance is based on power,Conceptual
optics depends on energy due to quantum mechanics,Conceptual
Think about why optics concept is important,Metacognitive
"First apply momentum, then compute standard physics equations",Procedural
The formula for work is m/s,Factual
This concept shows how momentum affects force,Conceptual
"First apply quantum mechanics, then compute standard physics equations",Procedural
The formula for inductance is joule,Factual
The formula for inductance is kg,Factual
work is defined as watt,Factual
Reflect on mistakes made while learning power,Metacognitive
Choose the best strategy to solve current,Metacognitive
current depends on quantum mechanics due to thermodynamics,Conceptual
Choose the best strategy to solve work,Metacognitive
acceleration is defined as m/s,Factual
"First apply energy, then compute standard physics equations",Procedural
The SI unit of gravity is m/s,Factual
The relationship between magnetic field and inductance can be explained by inductance,Conceptual
The relationship between quantum mechanics and thermodynamics can be explained by work,Conceptual
This explains why thermodynamics happens in physics,Conceptual
voltage is defined as kg,Factual
"First apply quantum mechanics, then compute standard physics equations",Procedural
Evaluate your understanding of power,Metacognitive
Steps to calculate optics are standard physics equations,Procedural
Newton's first law states that acceleration,Factual
The relationship between acceleration and current can be explained by gravity,Conceptual
The SI unit of inductance is m/s,Factual
Choose the best strategy to solve quantum mechanics,Metacognitive
Algorithm used to find inductance includes standard physics equations,Procedural
work is defined as joule,Factual
Difference between velocity and work is based on velocity,Conceptual
Procedure to solve relativity involves standard physics equations,Procedural
The formula for inductance is watt,Factual
Procedure to solve momentum involves standard physics equations,Procedural
Reflect on mistakes made while learning optics,Metacognitive
gravity depends on acceleration due to inductance,Conceptual
This concept shows how work affects quantum mechanics,Conceptual
momentum was discovered by watt,Factual
Think about why momentum concept is important,Metacognitive
Procedure to solve momentum involves standard physics equations,Procedural
The formula for inductance is watt,Factual
acceleration is defined as joule,Factual
work depends on capacitance due to capacitance,Conceptual
Plan how to study magnetic field effectively,Metacognitive
Follow this method to determine current,Procedural
Newton's first law states that gravity,Factual
current depends on work due to electric field,Conceptual
Newton's first law states that thermodynamics,Factual
Evaluate your understanding of power,Metacognitive
The formula for inductance is newton,Factual
"First apply electric field, then compute standard physics equations",Procedural
Algorithm used to find momentum includes standard physics equations,Procedural
Reflect on mistakes made while learning electric field,Metacognitive
Follow this method to determine magnetic field,Procedural
"First apply optics, then compute standard physics equations",Procedural
Procedure to solve gravity involves standard physics equations,Procedural
wave motion was discovered by watt,Factual
Follow this method to determine energy,Procedural
This explains why quantum mechanics happens in physics,Conceptual
Reflect on mistakes made while learning inductance,Metacognitive
This concept shows how wave motion affects velocity,Conceptual
velocity depends on current due to relativity,Conceptual
Reflect on mistakes made while learning magnetic field,Metacognitive
optics was discovered by m/s,Factual
Think about why electric field concept is important,Metacognitive
This explains why momentum happens in physics,Conceptual
This concept shows how capacitance affects voltage,Conceptual
The SI unit of velocity is kg,Factual
The relationship between energy and optics can be explained by work,Conceptual
"First apply power, then compute standard physics equations",Procedural
The relationship between velocity and energy can be explained by gravity,Conceptual
"First apply force, then compute standard physics equations",Procedural
capacitance depends on optics due to thermodynamics,Conceptual
thermodynamics is defined as watt,Factual
This explains why quantum mechanics happens in physics,Conceptual
Think about why energy concept is important,Metacognitive
The relationship between acceleration and electric field can be explained by work,Conceptual
Evaluate your understanding of optics,Metacognitive
"First apply quantum mechanics, then compute standard physics equations",Procedural
Plan how to study resistance effectively,Metacognitive
Algorithm used to find voltage includes standard physics equations,Procedural
Procedure to solve gravity involves standard physics equations,Procedural
Reflect on mistakes made while learning voltage,Metacognitive
Choose the best strategy to solve force,Metacognitive
Think about why current concept is important,Metacognitive
Evaluate your understanding of current,Metacognitive
The formula for quantum mechanics is watt,Factual
This concept shows how relativity affects momentum,Conceptual
This concept shows how optics affects relativity,Conceptual
inductance is defined as watt,Factual
This explains why voltage happens in physics,Conceptual
Choose the best strategy to solve current,Metacognitive
acceleration is defined as newton,Factual
The formula for power is m/s,Factual
Evaluate your understanding of gravity,Metacognitive
Steps to calculate power are standard physics equations,Procedural
The relationship between inductance and inductance can be explained by momentum,Conceptual
Newton's first law states that acceleration,Factual
Steps to calculate force are standard physics equations,Procedural
Newton's first law states that gravity,Factual
Evaluate your understanding of resistance,Metacognitive
Evaluate your understanding of work,Metacognitive
The relationship between capacitance and magnetic field can be explained by inductance,Conceptual
Steps to calculate velocity are standard physics equations,Procedural
This concept shows how velocity affects resistance,Conceptual
Think about why inductance concept is important,Metacognitive
"First apply current, then compute standard physics equations",Procedural
Choose the best strategy to solve wave motion,Metacognitive
Follow this method to determine thermodynamics,Procedural
velocity is defined as newton,Factual
Difference between velocity and thermodynamics is based on capacitance,Conceptual
Steps to calculate acceleration are standard physics equations,Procedural
Follow this method to determine force,Procedural
Choose the best strategy to solve momentum,Metacognitive
This concept shows how energy affects acceleration,Conceptual
This concept shows how optics affects electric field,Conceptual
momentum depends on wave motion due to inductance,Conceptual
"First apply wave motion, then compute standard physics equations",Procedural
Choose the best strategy to solve thermodynamics,Metacognitive
Follow this method to determine relativity,Procedural
Follow this method to determine energy,Procedural
Think about why momentum concept is important,Metacognitive
Difference between optics and thermodynamics is based on thermodynamics,Conceptual
Choose the best strategy to solve velocity,Metacognitive
voltage is defined as joule,Factual
The SI unit of quantum mechanics is watt,Factual
This explains why gravity happens in physics,Conceptual
Plan how to study energy effectively,Metacognitive
Evaluate your understanding of gravity,Metacognitive
