sentence,label
Differentiate the equation with respect to time,procedural
First calculate the equivalent resistance of the circuit,procedural
Differentiate the equation with respect to time,procedural
Substitute the given values into the formula,procedural
Check whether the assumptions made are valid,metacognitive
Convert the given values into SI units,procedural
Apply the lens formula to find image distance,procedural
Wave behavior explains interference patterns,conceptual
The SI unit of magnetic field is tesla,factual
Work done is equal to force multiplied by displacement,factual
Capacitance is measured in farad,factual
Current flows due to potential difference,conceptual
This happens because electrons move under electric field,conceptual
Reflect on the steps used to solve this problem,metacognitive
The speed of light in vacuum is constant,factual
Induced emf depends on rate of change of flux,conceptual
A photon has zero rest mass,factual
The increase in temperature increases resistance due to collisions,conceptual
Ask yourself if another method can be applied,metacognitive
Work done is equal to force multiplied by displacement,factual
This happens because electrons move under electric field,conceptual
Differentiate the equation with respect to time,procedural
Ohm's law relates voltage current and resistance,factual
Reflect on the steps used to solve this problem,metacognitive
This happens because electrons move under electric field,conceptual
Work done is equal to force multiplied by displacement,factual
Wave behavior explains interference patterns,conceptual
Review whether the solution satisfies boundary conditions,metacognitive
A photon has zero rest mass,factual
Substitute the given values into the formula,procedural
Calculate the magnetic field using Biot Savart law,procedural
Differentiate the equation with respect to time,procedural
Differentiate the equation with respect to time,procedural
Verify the result using dimensional analysis,metacognitive
The speed of light in vacuum is constant,factual
Check whether the assumptions made are valid,metacognitive
Acceleration due to gravity on Earth is approximately 9.8 meter per second square,factual
Ask yourself if another method can be applied,metacognitive
Semiconductors conduct due to charge carriers,conceptual
Evaluate your understanding of this principle,metacognitive
Review whether the solution satisfies boundary conditions,metacognitive
Gravitational force is attractive in nature,conceptual
Magnetic force acts perpendicular to velocity,conceptual
Electric field represents force per unit charge,conceptual
The atomic number represents number of protons,factual
Integrate the expression to find displacement,procedural
Energy is conserved during elastic collision,conceptual
Draw the free body diagram before solving,procedural
Substitute the given values into the formula,procedural
Check whether the assumptions made are valid,metacognitive
First calculate the equivalent resistance of the circuit,procedural
Electric charge is conserved in an isolated system,factual
Substitute the given values into the formula,procedural
Integrate the expression to find displacement,procedural
Verify the result using dimensional analysis,metacognitive
Apply the lens formula to find image distance,procedural
Calculate the magnetic field using Biot Savart law,procedural
Ask yourself if another method can be applied,metacognitive
The increase in temperature increases resistance due to collisions,conceptual
Electric field represents force per unit charge,conceptual
First calculate the equivalent resistance of the circuit,procedural
A photon has zero rest mass,factual
Think about common mistakes in this type of problem,metacognitive
Ask yourself if another method can be applied,metacognitive
Analyze why this concept is used instead of another,metacognitive
Substitute the given values into the formula,procedural
Draw the free body diagram before solving,procedural
The SI unit of magnetic field is tesla,factual
Draw the free body diagram before solving,procedural
Consider whether the answer is physically meaningful,metacognitive
This happens because electrons move under electric field,conceptual
Verify the result using dimensional analysis,metacognitive
Acceleration due to gravity on Earth is approximately 9.8 meter per second square,factual
Differentiate the equation with respect to time,procedural
Capacitance is measured in farad,factual
Think about common mistakes in this type of problem,metacognitive
Apply Kirchhoff's voltage law step by step,procedural
Reflect on the steps used to solve this problem,metacognitive
Think about common mistakes in this type of problem,metacognitive
A photon has zero rest mass,factual
Check whether the assumptions made are valid,metacognitive
Apply Kirchhoff's voltage law step by step,procedural
Integrate the expression to find displacement,procedural
Semiconductors conduct due to charge carriers,conceptual
Think about why this formula is applicable here,metacognitive
Apply Kirchhoff's voltage law step by step,procedural
Apply the lens formula to find image distance,procedural
Think about why this formula is applicable here,metacognitive
Ask yourself if another method can be applied,metacognitive
Ohm's law relates voltage current and resistance,factual
Reflect on the steps used to solve this problem,metacognitive
Think about common mistakes in this type of problem,metacognitive
Convert the given values into SI units,procedural
Electric charge is conserved in an isolated system,factual
Use the right hand thumb rule to determine direction,procedural
Analyze why this concept is used instead of another,metacognitive
Differentiate the equation with respect to time,procedural
The atomic number represents number of protons,factual
Substitute the given values into the formula,procedural
Induced emf depends on rate of change of flux,conceptual
Energy is conserved during elastic collision,conceptual
Consider whether the answer is physically meaningful,metacognitive
The speed of light in vacuum is constant,factual
Draw the free body diagram before solving,procedural
Induced emf depends on rate of change of flux,conceptual
Work done is equal to force multiplied by displacement,factual
Consider whether the answer is physically meaningful,metacognitive
The SI unit of magnetic field is tesla,factual
Wave behavior explains interference patterns,conceptual
Review whether the solution satisfies boundary conditions,metacognitive
Use the right hand thumb rule to determine direction,procedural
Ask yourself if another method can be applied,metacognitive
A photon has zero rest mass,factual
The atomic number represents number of protons,factual
The increase in temperature increases resistance due to collisions,conceptual
First calculate the equivalent resistance of the circuit,procedural
Substitute the given values into the formula,procedural
Gravitational force is attractive in nature,conceptual
The unit of electric current is ampere,factual
Gravitational force is attractive in nature,conceptual
The unit of electric current is ampere,factual
A photon has zero rest mass,factual
Differentiate the equation with respect to time,procedural
Differentiate the equation with respect to time,procedural
Verify the result using dimensional analysis,metacognitive
Integrate the expression to find displacement,procedural
Wave behavior explains interference patterns,conceptual
Draw the free body diagram before solving,procedural
Verify the result using dimensional analysis,metacognitive
Current flows due to potential difference,conceptual
Gravitational force is attractive in nature,conceptual
Verify the result using dimensional analysis,metacognitive
Acceleration due to gravity on Earth is approximately 9.8 meter per second square,factual
Capacitance is measured in farad,factual
Convert the given values into SI units,procedural
Check whether the assumptions made are valid,metacognitive
A photon has zero rest mass,factual
The unit of electric current is ampere,factual
Check whether the assumptions made are valid,metacognitive
Magnetic force acts perpendicular to velocity,conceptual
Think about common mistakes in this type of problem,metacognitive
Consider whether the answer is physically meaningful,metacognitive
First calculate the equivalent resistance of the circuit,procedural
The speed of light in vacuum is constant,factual
Convert the given values into SI units,procedural
Think about why this formula is applicable here,metacognitive
Reflect on the steps used to solve this problem,metacognitive
Check whether the assumptions made are valid,metacognitive
Integrate the expression to find displacement,procedural
Differentiate the equation with respect to time,procedural
Evaluate your understanding of this principle,metacognitive
Evaluate your understanding of this principle,metacognitive
The SI unit of magnetic field is tesla,factual
The unit of electric current is ampere,factual
Check whether the assumptions made are valid,metacognitive
This happens because electrons move under electric field,conceptual
Wave behavior explains interference patterns,conceptual
The SI unit of magnetic field is tesla,factual
Current flows due to potential difference,conceptual
Think about common mistakes in this type of problem,metacognitive
Ohm's law relates voltage current and resistance,factual
Electric field represents force per unit charge,conceptual
Consider whether the answer is physically meaningful,metacognitive
Differentiate the equation with respect to time,procedural
Use the right hand thumb rule to determine direction,procedural
Acceleration due to gravity on Earth is approximately 9.8 meter per second square,factual
Apply Kirchhoff's voltage law step by step,procedural
Ask yourself if another method can be applied,metacognitive
Ask yourself if another method can be applied,metacognitive
The SI unit of magnetic field is tesla,factual
The increase in temperature increases resistance due to collisions,conceptual
The speed of light in vacuum is constant,factual
Use the right hand thumb rule to determine direction,procedural
Convert the given values into SI units,procedural
Substitute the given values into the formula,procedural
Use the right hand thumb rule to determine direction,procedural
A photon has zero rest mass,factual
The atomic number represents number of protons,factual
Ask yourself if another method can be applied,metacognitive
Magnetic force acts perpendicular to velocity,conceptual
Apply the lens formula to find image distance,procedural
Evaluate your understanding of this principle,metacognitive
This happens because electrons move under electric field,conceptual
The atomic number represents number of protons,factual
Electric field represents force per unit charge,conceptual
Reflect on the steps used to solve this problem,metacognitive
Review whether the solution satisfies boundary conditions,metacognitive
Apply Kirchhoff's voltage law step by step,procedural
Draw the free body diagram before solving,procedural
The speed of light in vacuum is constant,factual
Capacitance is measured in farad,factual
Use the right hand thumb rule to determine direction,procedural
The atomic number represents number of protons,factual
Review whether the solution satisfies boundary conditions,metacognitive
Verify the result using dimensional analysis,metacognitive
Think about common mistakes in this type of problem,metacognitive
Differentiate the equation with respect to time,procedural
Current flows due to potential difference,conceptual
Gravitational force is attractive in nature,conceptual
A photon has zero rest mass,factual
The speed of light in vacuum is constant,factual
Energy is conserved during elastic collision,conceptual
Apply the lens formula to find image distance,procedural
Ask yourself if another method can be applied,metacognitive
Work done is equal to force multiplied by displacement,factual
Integrate the expression to find displacement,procedural
Integrate the expression to find displacement,procedural
A photon has zero rest mass,factual
Integrate the expression to find displacement,procedural
The speed of light in vacuum is constant,factual
Ask yourself if another method can be applied,metacognitive
Evaluate your understanding of this principle,metacognitive
Consider whether the answer is physically meaningful,metacognitive
